batch,value,variable
A,0.975152078,u1aa
B,0.941148852,u1aa
C,0.749585829,u1aa
D,0.685548617,u1aa
E,0.452338473,u1aa
F,0.232509239,u1aa
G,0.219128329,u1aa
A,-0.024847922,u2aa
B,-0.058851148,u2aa
C,-0.250414171,u2aa
D,-0.314451383,u2aa
E,-0.547661527,u2aa
F,-0.767490761,u2aa
G,-0.780871671,u2aa
A,0.978619535,u1bb
B,0.948079918,u1bb
C,0.759143622,u1bb
D,0.688415955,u1bb
E,0.478144514,u1bb
F,0.229641901,u1bb
G,0.228686122,u1bb
A,-0.021380465,u2bb
B,-0.051920082,u2bb
C,-0.240856378,u2bb
D,-0.311584045,u2bb
E,-0.521855486,u2bb
F,-0.770358099,u2bb
G,-0.771313878,u2bb
A,0.986700241,u1cc
B,0.962724608,u1cc
C,0.821269275,u1cc
D,0.758187842,u1cc
E,0.572766662,u1cc
F,0.276475086,u1cc
G,0.25831528,u1cc
A,-0.013299759,u2cc
B,-0.037275392,u2cc
C,-0.178730725,u2cc
D,-0.241812158,u2cc
E,-0.427233338,u2cc
F,-0.723524914,u2cc
G,-0.74168472,u2cc
