time,Nat,Nit,N2O
1,1.42,1.42,0.72
2,1.3964,1.4011,0.7174
3,1.3728,1.3822,0.7148
4,1.3492,1.3633,0.7122
5,1.3256,1.3444,0.7096
6,1.302,1.3255,0.707
7,1.2784,1.3066,0.7044
8,1.2548,1.2877,0.7018
9,1.2312,1.2688,0.6992
10,1.2076,1.2499,0.6966
11,1.184,1.231,0.694
12,1.1604,1.2121,0.6914
13,1.1368,1.1932,0.6888
14,1.1132,1.1743,0.6862
15,1.0896,1.1554,0.6836
16,1.066,1.1365,0.681
17,1.0424,1.1176,0.6784
18,1.0188,1.0987,0.6758
19,0.9952,1.0798,0.6732
20,0.9716,1.0609,0.6706
21,0.948,1.042,0.668
22,0.9244,1.0231,0.6654
23,0.9008,1.0042,0.6628
24,0.8772,0.9853,0.6602
25,0.8536,0.9664,0.6576
26,0.83,0.9475,0.655
27,0.8064,0.9286,0.6524
28,0.7828,0.9097,0.6498
29,0.7592,0.8908,0.6472
30,0.7356,0.8719,0.6446
