time,Nat,Nit,N2O
1,1.42,1.42,0.72
2,1.4111,1.417,0.7195
3,1.4022,1.414,0.719
4,1.3933,1.411,0.7185
5,1.3844,1.408,0.718
6,1.3755,1.405,0.7175
7,1.3666,1.402,0.717
8,1.3577,1.399,0.7165
9,1.3488,1.396,0.716
10,1.3399,1.393,0.7155
11,1.331,1.39,0.715
12,1.3221,1.387,0.7145
13,1.3132,1.384,0.714
14,1.3043,1.381,0.7135
15,1.2954,1.378,0.713
16,1.2865,1.375,0.7125
17,1.2776,1.372,0.712
18,1.2687,1.369,0.7115
19,1.2598,1.366,0.711
20,1.2509,1.363,0.7105
21,1.242,1.36,0.71
22,1.2331,1.357,0.7095
23,1.2242,1.354,0.709
24,1.2153,1.351,0.7085
25,1.2064,1.348,0.708
26,1.1975,1.345,0.7075
27,1.1886,1.342,0.707
28,1.1797,1.339,0.7065
29,1.1708,1.336,0.706
30,1.1619,1.333,0.7055
