time,Nat,Nit,Amm
0,0.00,0.04,2.65
1,1.51,1.48,16.31
2,9.49,0.79,22.3
4,5.91,1.53,27.62
5,8.10,2.27,29.61
8,8.88,3.75,34.58
10,15.44,3.79,38.57
12,19.09,4.54,39.55
14,17.68,6,40.2
16,11.92,6.04,37.18
18,14.86,4.65,35.83
20,17.07,3.96,43.15
23,20.02,6.88,50.46
25,40.34,10.49,41.78
27,39.65,6.23,45.76
29,51.29,7.7,40.74
31,44.08,9.88,45.06
32,54.96,9.9,46.05
34,36.16,7.07,48.7
36,28.00,6.4,40.02
39,25.00,5.74,38.32
41,20.02,4.34,47.31
43,27.62,5.09,42.62
46,22.30,9.43,45.94
48,21.93,8.76,40.58
