time,Nat,Nit,Amm
0.00,3.88,0.39,2.68
0.84,1.50,0.39,15.94
1.32,3.50,0.05,23.16
3.68,1.38,0.05,26.97
4.79,2.50,0.05,36.07
8.11,1.38,0.05,41.04
9.84,0.25,0.05,48.64
11.74,2.50,0.28,53.21
13.79,1.38,0.16,49.07
15.84,0.63,0.10,42.28
18.05,0.13,0.10,43.81
19.63,0.25,0.01,48.39
22.95,0.38,0.05,55.25
25.00,0.63,0.10,56.41
27.05,2.25,0.05,49.62
28.79,0.63,0.05,54.19
30.68,0.50,0.07,46.64
32.11,1.00,0.16,45.89
34.16,0.63,0.20,53.87
35.89,0.38,0.05,47.08
39.21,0.00,0.51,45.60
40.95,0.00,0.86,49.42
43.16,0.13,0.63,52.85
46.16,0.25,0.74,52.51
48.37,0.88,0.97,47.61
