time,Nat,Nit,Amm
0,5.14,0,2.92
1,3.92,0,3.22
2,10.94,0.56,4.68
4,23.66,5.05,5.56
5,26.24,8.8,4.99
8,38.41,14,6.18
10,58.74,21.53,3.3
12,58.82,22.19,3.9
14,57.65,28.96,3.63
16,66.59,40.31,2.78
18,75.53,47.83,2.22
20,66.11,54.6,2.24
23,49.8,72,2.56
25,70.77,68.08,2.58
27,66,71.04,1.73
29,108.91,71.7,2.04
31,69.76,76.95,2.35
32,54,70.79,2.65
34,73.03,72.22,4.99
36,78.18,79.75,4.14
39,98.59,89.5,7.06
41,53.71,81,5.92
43,79.12,99.25,5.94
46,62.17,91.45,7.13
48,70.46,92.87,6.86
